Planet Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Discovery Year,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Star Age (Gyr)
Kepler-768 b,-0.5825987521657763,-0.6791378258028552,0.14338370950646412,-0.8360703370625759,0.49451211460119243,-0.15365946003064349,1.2606227814450413,-0.6951297013352343,-0.747994320709382,-0.3390243410552263,-0.4605133350978179,-0.46574994717135,-0.42565114369095414,0.3016149432543079,-0.32631410074739203,0.733337415779244,-0.8997694585367619,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.610123983567836,0.35489651042628506,-0.5645532225562175,-0.04098245814522642,-0.4251779157532891,0.7757238552220708,0.0,0.0,-0.26777403979997283,0.06990359612434302,0.0,1.8979112864000076,-0.8180344318819831,0.0,0.44384939125076184
Kepler-777 b,-0.7607093769998894,-0.6791378258028552,0.6900957663966488,-1.0199815670531935,0.8131477269054813,-0.34915848239749236,1.1529626692160604,-0.5400212584178141,-1.0854619022999974,-1.121623571998195,-1.4752983409656188,-0.967655277582081,-1.2749700625602147,-0.3100953615485799,-1.0738377634118355,0.14292956840687646,-0.45753231512685216,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.34297825526027953,0.6468272426537707,-0.5252842786390535,0.34927058152737245,-1.5575164575660825,1.438732607547231,0.0,0.0,-1.0373902881580237,1.0530648590507186,0.0,1.3210622360427808,0.28842515515127337,0.0,1.231849646759224
Kepler-900 b,-0.7060063718216496,-0.6791378258028552,-0.21844768817464344,-0.6815951039737078,0.2409996054974771,-0.038546334665965166,1.413451961441735,-0.43187204879692237,-0.8349867900999077,-0.46762466081579995,-0.7534549693861655,-0.608399484707044,-0.5942627576076148,0.3016149432543079,-0.21275008741284018,0.24195139444268357,-0.5414714200523048,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6632060625649155,0.7920231059870567,-0.4033394400554075,0.05773239988618149,-1.128059242893751,-0.6352302260209203,0.0,0.0,-0.7442257641382861,0.6624679300451792,0.0,1.7984532350574431,-0.7029604778725728,0.0,0.5862357587613111
Kepler-393 b,-0.6483881387464029,-0.6791378258028552,0.4784701980118204,-1.1298963012828436,1.020898801785055,0.7816699056085553,-0.7040921467532448,-1.1891051988226344,0.6647338487253719,0.8645907788550892,1.1672147197569394,0.523936006688838,0.706157119386563,-0.857499587642039,0.03450894086505294,0.850099687457144,-0.9724342923032084,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5325841348365505,0.6920873010490383,-0.46461983098823567,0.14843561452764895,-0.08836092312129061,-0.23823671768493662,0.0,0.0,1.3176887066974756,-1.4789256564839037,0.0,-1.5859104253483032,1.5619592790976495,0.0,-1.047028549909061
Kepler-431 d,-0.5625445410048497,-0.6791378258028552,-1.26953906743844,-1.2446297504793968,1.0230112870360535,0.34031954019339067,-0.704092146753238,-1.1686837581364269,0.9112666181018334,0.44229752757108026,0.8255755220793899,0.498394371429364,0.3150766556243319,0.21447573909296816,0.26579530720483874,0.23986307002402296,-0.5397779000763663,-0.42679352218399386,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.3086023297646768,0.5884224890177836,-0.5554780896275551,0.3784201767718098,0.024980337526646447,-0.005467759905994833,0.0,0.0,1.0721653182236262,-0.7864055238601226,0.0,-1.187056894640766,1.1038955127912022,0.0,-0.5439930424975343
Kepler-654 b,-0.5210352511025825,-0.6791378258028552,-0.699753443652609,-0.6867349013095105,0.2495442024873931,0.2490977007113574,-0.7040921467532465,-0.8826797856720218,1.5505285431560323,0.350610809842324,0.5853817214775421,0.462204469106024,0.3482290784704188,0.5778533242783417,0.0816176943450747,0.9485162055226933,-1.029726347095753,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6866127021158441,0.782728477298235,-0.40066571244943594,0.035087150764831494,0.4497726641353873,-0.29225727863341355,0.0,0.0,0.9756317485583936,-0.7864055238601226,0.0,-0.19187963324253401,-0.7443272356686509,0.0,-0.4245852871677544
Kepler-142 c,-0.7835011587716704,-0.6791378258028552,-0.10067566750402843,-0.319499609218406,-0.30022043236206786,1.0543507884779681,-0.7040921467532465,-0.7147149430971848,0.0994997360544141,0.19049076331907258,0.4619162578635941,0.107062691705473,0.577078997961015,1.357144890196557,0.328331954879008,0.3648882957611208,-0.6400755501072409,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.6357719426158436,0.8773495928314786,-0.38505334929500196,0.10690762263643215,0.9146501416308713,-1.1589172806022363,0.0,0.0,1.2589104419823636,-1.4254845299019092,0.0,-0.07187426672747639,-0.2339609722154078,0.0,-0.21196002346097048
Kepler-147 b,-0.5313542453100554,-0.6791378258028552,-0.6080251553122937,-0.9843915210480316,0.7520632978320676,0.5626530135954364,-0.7040921467532465,-1.1629253921876235,0.7115739657198968,0.6545075542501027,0.8398382509383935,0.427327845165214,0.7993566266092144,0.26422805457794646,0.26579530720483874,1.0136595630611054,-1.0658515000625495,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.46072239133277826,0.3865659267535823,-0.5952918793463202,0.12857804490031133,0.21861076263226636,-0.5219816004112131,0.0,0.0,1.3935174282527243,-1.5484299476223786,0.0,-0.7610830876172794,0.49659192393918,0.0,-0.8078141979333587
Kepler-401 b,-0.4916472937172433,-0.6791378258028552,-0.7064858012467624,-0.8806987618404066,0.5679440162743385,0.42028278904253263,-0.7040921467532458,-1.093096815563721,1.981133030029441,0.7447855842749649,1.0313473376659175,0.566110558151857,0.6497954400812094,-0.12182574541057647,-0.038075406914948845,0.9399072048629673,-1.024888915739581,-0.6296591607006524,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5105422512190854,1.0208482621830124,-0.3705902311256989,0.2598674022768219,0.5464870587654789,-0.8236868568015228,0.0,0.0,1.2589104419823636,-1.4254845299019092,0.0,-1.2267216837850579,1.1498886661730026,0.0,-0.9134877202097843
Kepler-1290 b,-0.7860525879016154,-0.6791378258028552,0.43832349838807644,-1.0500376309287691,0.8684711605961369,0.6951533018967264,-0.7040921467532483,-1.0125543060984905,-0.14716698451790525,0.07240258679517265,0.2585222831980029,0.0689883790133237,-0.004830715671646041,0.10650996729774309,-0.26979842860059766,1.3984916151923683,-1.2540409457597426,-0.2128036659945015,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.5250643050729665,0.621203658875781,-0.4901211529038099,0.13456229124438754,-0.35162025525995094,0.7757238552220708,0.0,0.0,0.7248452788211286,-0.3177684935943011,0.0,1.215504812320057,-0.43913002042903077,0.0,-0.05575008720722938
