,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU)
2078,Kepler-127 b,b,Kepler-127,14.435889,0.47,88.65,1.4,5.09,884.0,159.163,0.01129,3.435,1.269,6106.0,0.406513951661465,1.36,2.63,0.214227,352.794,2.80577,20.8873926,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,285.1899439,46.0280596,76.21619,17.64003,0.05,-0.05,0.0,0.04,-0.04,0.0,0.04,-0.04,0.0,0.5,-0.555,0.0,2.691,-2.652,0.0213038,-0.0213038,0.125
2079,HD 136352 c,c,HD 136352,27.59221,0.0,88.571,2.916,2.49767,677.0,35.1,0.0638,3.251,0.87,5664.0,0.016,1.06,12.3,-0.24,14.682,68.0818,1647.3395676,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,Radial Velocity,2019,2019-02,1,1,3,0,230.4401147,-48.3188174,327.07069,7.38103,0.075,-0.073,0.0,0.04,-0.04,0.0,0.02,-0.02,0.0,1.2,-2.9,0.0,0.0199,-0.0198,0.0914699,-0.0914699,0.1721
2080,HD 136352 d,d,HD 136352,107.245,0.0,89.73,2.562,2.87811,431.0,5.74,0.0492,8.87,0.87,5664.0,0.016,1.06,12.3,-0.24,14.682,68.0818,1647.3395676,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,Radial Velocity,2019,2019-02,1,1,3,0,230.4401147,-48.3188174,327.07069,7.38103,0.088,-0.079,0.0,0.04,-0.04,0.0,0.02,-0.02,0.0,1.2,-2.9,0.0,0.0199,-0.0198,0.0914699,-0.0914699,0.425
2081,Kepler-1747 b,b,Kepler-1747,6.23031998,0.0,87.55,4.265,1.19,875.0,138.33,0.14492,1.6493,0.98,5477.0,-0.205293536538929,0.86,0.7,0.21,1321.38,0.728415,5.041988,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,284.2096557,45.258082,75.20398,18.00601,,,0.0,0.07,-0.12,0.0,0.17,-0.07,0.0,3.9,-3.9,0.0,60.95,-55.89,0.0331824,-0.0331824,0.066
2082,Kepler-1965 b,b,Kepler-1965,41.86869812,0.0,87.73,1.354,5.31,492.0,13.89,0.01507,5.783,0.93,5852.0,-0.0760227570145861,0.84,,-0.3,521.791,1.88772,12.5252883,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,292.5147146,38.0219872,71.00921,9.39733,,,0.0,0.1,-0.11,0.0,0.22,-0.07,0.0,,,0.0,4.563,-4.563,0.0166316,-0.0166316,0.2301
2083,Kepler-1896 b,b,Kepler-1896,44.87020111,0.0,89.67,3.099,1.81,536.0,19.5,0.06361,4.199,1.07,6122.0,0.173818886370921,1.0,,-0.1,1732.91,0.548579,2.5744023,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,289.6785786,40.2496475,72.05393,12.35491,,,0.0,0.14,-0.15,0.0,0.31,-0.1,0.0,,,0.0,100.03,-89.87,0.0308518,-0.0308518,0.2529
2084,CoRoT-27 b,b,CoRoT-27,3.57532,0.065,86.7,11.287,12.6,1500.0,,,2.77,1.05,5900.0,-0.166407623391473,1.08,4.21,-0.1,1010.28,0.96604,9.7710073,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,Transit,2014,2014-02,0,1,0,0,278.4958319,5.5383811,35.89455,6.39649,0.493,-0.493,0.0,0.11,-0.11,0.0,0.18,-0.06,0.0,2.72,-2.72,0.0,69.26,-61.036,0.0620076,-0.0620076,0.0476
2085,KMT-2021-BLG-0119L b,b,KMT-2021-BLG-0119L,,,,12.8,4.6,,,,,0.56,,,,,,3130.0,,,<a refstr=SHIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220903886S/abstract target=ref>Shin et al. 2022</a>,Microlensing,2022,2022-09,0,0,0,0,274.0005417,-29.7438889,2.5721,-6.15518,,,0.0,0.32,-0.24,0.0,,,,,,,1300.0,-910.0,,,2.92
2086,KMT-2021-BLG-0192L b,b,KMT-2021-BLG-0192L,,,,6.56,0.681,,,,,0.27,,,,,,5120.0,,,<a refstr=SHIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220903886S/abstract target=ref>Shin et al. 2022</a>,Microlensing,2022,2022-09,0,0,0,0,268.1049583,-30.0086889,359.84241,-1.82089,,,0.0,0.12,-0.09,0.0,,,,,,,1000.0,-990.0,,,1.62
2087,KMT-2021-BLG-2294L b,b,KMT-2021-BLG-2294L,,,,5.02,0.966,,,,,0.14,,,,,,6800.0,,,<a refstr=SHIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220903886S/abstract target=ref>Shin et al. 2022</a>,Microlensing,2022,2022-09,0,0,0,0,270.0624167,-28.6124389,1.9081,-2.5967,,,0.0,0.2,-0.07,0.0,,,,,,,970.0,-1080.0,,,1.15
2088,CoRoT-25 b,b,CoRoT-25,4.86069,0.0,84.5,12.11,0.15,1330.0,,,1.92,1.09,6040.0,0.141006441399099,1.19,4.5,-0.01,1103.48,0.878853,2.6431764,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,Transit,2013,2013-07,0,2,0,0,280.6296561,6.5138223,37.73014,4.94113,3.4,-1.12,0.0,0.11,-0.05,0.0,0.14,-0.03,0.0,1.8,-2.0,0.0,44.28,-41.05,0.0347172,-0.0347172,0.0578
2089,NGC 2682 Sand 1429 b,b,NGC 2682 Sand 1429,77.48,0.0,,13.4,1.31,683.0,,,,1.26,6000.0,0.739892923702448,2.13,4.3,-0.013,852.793,1.14349,11.1669271,<a refstr=THOMAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240302911T/abstract target=ref>Thomas et al. 2024</a>,Radial Velocity,2024,2024-03,0,0,0,0,133.0147781,11.6899626,215.90556,32.01882,,,0.0,0.04,-0.04,0.0,0.04,-0.04,0.0,0.4,-0.4,0.0,29.499,-27.625,0.0389868,-0.0389868,0.384
2090,Kepler-1099 b,b,Kepler-1099,2.16845259,0.0,88.96,2.83,2.04,1558.0,766.344,0.04669,1.6611,1.01,5837.0,-0.119061794511205,1.0,3.63,-0.02,1022.8,0.949177,13.2127615,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Transit,2016,2016-05,0,0,0,0,288.7499866,48.2771163,79.34112,16.23311,0.43,-0.51,0.0,0.05,-0.06,0.0,0.14,-0.08,0.0,2.92,-1.96,0.0,26.54,-25.25,0.0245575,-0.0245575,0.0337
2091,TOI-2498 b,b,TOI-2498,3.738252,0.089,87.12,6.06,0.86,1443.0,790.475926859592,0.131646227565507,2.97520797554519,1.12,5905.0,0.270893950743387,1.26,3.6,0.167,275.265,3.60532,20.1019329,<a refstr=FRAME_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1428F/abstract target=ref>Frame et al. 2023</a>,Transit,2023,2023-05,0,0,0,0,95.4162204,11.2516477,199.53738,-1.38131,0.29,-0.27,0.0,0.02,-0.02,0.0,0.04,-0.04,0.0,1.1,-1.1,0.0,4.204,-4.082,0.0542554,-0.0542554,0.0491
2092,KELT-24 b,b,KELT-24,5.55149296,0.0319,89.67,12.711,3.9,1391.0,624.0,0.7573,4.3032,1.27,6426.0,0.439,1.34,1.98,0.138,96.5173,10.332,66.0921869,<a refstr=GIOVINAZZI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..118G/abstract target=ref>Giovinazzi et al. 2024</a>,Transit,2019,2019-11,1,0,0,0,161.9090273,71.655727,135.57326,42.30144,0.303,-0.291,0.0,0.06,-0.06,0.0,0.03,-0.03,0.0,0.95,-0.79,0.0,0.3132,-0.3113,0.0332707,-0.0332707,0.0665
2093,TOI-2497 b,b,TOI-2497,10.655669,0.195,88.16,11.142,6.1,1595.0,997.80853098859,0.1877,7.838,1.86,7360.0,1.167,2.36,1.0,0.094,285.289,3.47715,30.0354744,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,Transit,2023,2023-02,0,0,0,0,90.0625878,11.8840577,196.46252,-5.68168,0.616,-0.549,0.0,0.09,-0.08,0.0,0.12,-0.11,0.0,0.22,-0.19,0.0,3.564,-3.479,0.0429382,-0.0429382,0.1166
2094,HD 47366 b,b,HD 47366,360.08,0.071,,13.4,1.51,,,,,1.81,4866.0,1.417,7.3,1.61,-0.02,84.3552,11.8263,126.1020656,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,Radial Velocity,2016,2016-03,1,0,0,0,99.4200181,-12.9856593,223.03598,-8.88729,,,0.0,0.13,-0.13,0.0,0.33,-0.33,0.0,0.53,-0.53,0.0,0.456,-0.456,0.0636,-0.0636,1.207
2095,gam Lib b,b,gam Lib,414.88,0.16,,13.7,0.765,,,,,1.78,4879.0,1.897,12.38,2.82,-0.27,47.4017,21.0823,64.5845688,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,Radial Velocity,2018,2018-08,1,0,0,0,233.8818636,-14.789502,351.51546,32.19557,,,0.0,0.24,-0.24,0.0,0.3,-0.24,0.0,1.97,-0.82,0.0,0.90845,-0.90845,0.401029,-0.401029,1.319
2096,Kepler-1695 b,b,Kepler-1695,4.7329,0.0,89.67,1.119,5.72,957.0,198.57,0.01516,1.5691,0.96,5473.19,-0.104,0.99,0.5,-0.035,791.175,1.23532,17.1629283,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,Transit,2020,2021-07,0,0,0,0,293.6193001,46.4134015,79.01123,12.45831,,,0.0,,,0.0,,,0.0,3.8,-3.8,0.0,12.3105,-12.3105,0.0195146,-0.0195146,0.0529
2097,HD 125390 b,b,HD 125390,1757.39151,0.597,84.685,11.9,28.2,,,,,1.82,4882.0,1.12354262686116,6.47,,-0.11,153.647,6.47975,21.5237321,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2019,2019-04,1,0,1,0,214.5387463,38.9669132,71.64737,68.40106,,,0.0,0.1,-0.1,0.0,,,0.0,,,,0.854,-0.854,0.0358957,-0.0358957,3.496
2098,HD 180902 b,b,HD 180902,510.9,0.107,,13.5,1.2,,,,,1.41,4961.0,0.973127853599699,4.16,2.8,0.04,104.577,9.53385,42.8690335,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Radial Velocity,2009,2010-05,1,1,1,0,289.8239604,-23.5582432,14.39883,-16.32996,,,0.0,,,0.0,,,0.0,0.7,-0.7,0.0,0.5735,-0.5735,0.052082,-0.052082,1.4
2099,Kepler-1797 b,b,Kepler-1797,23.3593998,0.0,86.07,3.058,1.84,684.0,51.68,0.05701,5.389,1.07,6244.0,0.0618315672774496,1.01,0.4,-0.2,1338.49,0.71858,1.4201514,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,292.4642406,45.9682799,78.2408,12.9805,,,0.0,0.14,-0.14,0.0,0.34,-0.11,0.0,1.1,-1.1,0.0,41.195,-41.195,0.0228092,-0.0228092,0.1637
2100,HATS-34 b,b,HATS-34,2.1061607,0.108,82.28,16.029,0.4,1445.0,691.842807260503,1.21422238514306,1.5552,0.95,5380.0,-0.14,0.98,7.7,0.25,508.842,1.93638,5.7005088,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,Transit,2016,2016-12,0,0,0,0,0.7744866,-62.4693167,312.35473,-53.76568,2.13,-2.13,0.0,0.03,-0.03,0.0,0.05,-0.05,0.0,2.7,-2.7,0.0,3.896,-3.896,0.0149344,-0.0149344,0.03166
2101,HATS-7 b,b,HATS-7,3.185315,0.17,87.92,6.311,0.83,1084.0,211.6178316242,0.491733789083141,2.2992,0.85,4985.0,-0.434,0.81,7.8,0.25,240.707,4.12576,56.6232037,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...813..111B/abstract target=ref>Bakos et al. 2015</a>,Transit,2015,2015-11,0,0,0,0,208.8567465,-21.2078587,322.30706,39.24434,0.516,-0.381,0.0,0.03,-0.03,0.0,0.05,-0.04,0.0,5.0,-5.0,0.0,1.649,-1.628,0.0280641,-0.0280641,0.04012
2102,TOI-908 b,b,TOI-908,3.183792,0.132,86.475,3.186,2.742,1317.0,80.88,0.0850208413323677,2.457,0.95,5626.0,-0.0395277954325081,1.03,4.6,0.08,175.748,5.66109,5.8472927,<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1796H/abstract target=ref>Hawthorn et al. 2023</a>,Transit,2023,2023-06,0,0,0,0,53.1594266,-81.250745,296.14549,-33.63672,0.155,-0.155,0.0,0.01,-0.01,0.0,0.03,-0.03,0.0,1.5,-1.5,0.0,0.638,-0.634,0.0204472,-0.0204472,0.041657
2103,WASP-165 b,b,WASP-165,3.465509,0.0,84.9,14.123,0.44,1624.0,1373.53240628827,0.544,4.176,1.25,5599.0,0.428314340918628,1.75,4.77,0.33,602.236,1.63358,28.1999701,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,Transit,2018,2019-01,0,0,0,0,357.5806472,-17.0775947,65.21072,-72.66598,2.13,-1.906,0.0,0.07,-0.07,0.0,0.18,-0.18,0.0,0.92,-0.92,0.0,28.638,-26.194,0.0749392,-0.0749392,0.04823
2104,Kepler-1664 b,b,Kepler-1664,14.3868,0.0,89.98,3.033,1.86,776.0,85.46,0.05696,2.1417,0.944,5735.81,0.0501,1.072,8.2,0.37,626.691,,4.4032922,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,Transit,2020,2021-07,0,0,0,0,286.8527157,49.2616668,79.80597,17.76123,,,0.0,0.074,-0.056,0.0,0.158,-0.143,0.0,2.6,-2.6,0.0,,,,,0.1137
2105,Kepler-1315 c,c,Kepler-1315,6.56606007,0.0,88.08,1.844,3.56,777.0,86.27,0.04024,1.7315,0.81,4818.0,-0.627834668117019,0.86,14.0,0.56,480.869,2.05104,17.6278086,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,295.8215678,46.0530562,79.39487,10.93871,,,0.0,0.05,-0.04,0.0,0.09,-0.09,0.0,3.8,-3.8,0.0,5.724,-5.724,0.0245624,-0.0245624,0.064
2106,Kepler-1812 b,b,Kepler-1812,7.16521978,0.0,89.75,2.325,2.63,1034.0,270.34,0.04338,1.6563,1.16,6174.0,0.279879705343926,1.1,1.0,0.1,1409.19,0.682188,1.1555448,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,Transit,2021,2022-02,0,0,0,0,298.0845087,40.2832525,75.10403,6.6918,,,0.0,0.16,-0.16,0.0,0.36,-0.13,0.0,2.0,-2.0,0.0,59.26,-54.74,0.0284281,-0.0284281,0.0765
2107,KMT-2021-BLG-1547L b,b,KMT-2021-BLG-1547L,,,,13.6,1.02,,,,,0.72,,,,,,5070.0,,,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A.101H/abstract target=ref>Han et al. 2023</a>,Microlensing,2023,2023-10,0,0,0,0,272.3995833,-29.0839389,2.49423,-4.6143,,,0.0,0.32,-0.38,0.0,,,,,,,980.0,-1500.0,,,4.5
2108,HIP 38594 b,b,HIP 38594,60.722,0.17,,2.77,2.09,,,,,0.61,4086.3,-1.06242995565673,0.626646,,,17.7886,56.1868,361.8202191,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>,Radial Velocity,2020,2020-10,1,0,0,0,118.5439118,-25.3023073,242.4005,1.29682,,,0.0,0.02,-0.02,0.0,0.0185311,-0.0185311,0.0,,,,0.0095,-0.0095,0.0296606,-0.0296606,0.256
2109,HD 44219 b,b,HD 44219,472.0,0.41,90.0,14.1,0.361,,,,,1.2,5752.0,0.26,1.32,8.4,0.03,52.9051,18.8732,74.2218138,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,Radial Velocity,2010,2010-11,1,0,0,0,95.0599971,-10.7250799,219.07812,-11.74314,,,0.0,0.06,-0.06,0.0,0.07,-0.07,0.0,0.9,-0.9,0.0,0.1804,-0.1792,0.0637579,-0.0637579,1.26
2110,TOI-244 b,b,TOI-244,7.397225,,88.32,1.52,4.2,458.0,7.3,0.106,1.7,0.43,3433.0,-1.643,0.43,7.0,-0.39,22.0337,45.3562,161.7031424,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,Transit,2023,2023-03,0,0,0,0,10.5697537,-36.7179743,313.7951,-80.21632,0.12,-0.12,0.0,0.03,-0.03,0.0,0.03,-0.03,0.0,4.0,-4.0,0.0,0.0334,-0.0333,0.068181,-0.068181,0.0559
2111,HD 140901 b,b,HD 140901,9.02378,0.472,,4.07,1.27,,,,,0.99,5610.0,-0.102372908709559,0.95,3.2,0.0859299,15.2528,65.5328,467.152936,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2022,2022-09,1,0,0,0,236.8689866,-37.9172333,337.16094,12.98895,,,0.0,0.12,-0.12,0.0,0.03,-0.02,0.0,2.8,-2.8,0.0,0.0112,-0.0112,0.0477377,-0.0477377,0.085
2112,HD 140901 c,c,HD 140901,14386.0,0.77,40.0,13.4,1.31,,,,,1.06,5610.0,-0.102372908709559,0.95,3.2,0.0859299,15.2528,65.5328,467.152936,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,Radial Velocity,2022,2022-09,1,0,0,0,236.8689866,-37.9172333,337.16094,12.98895,,,0.0,0.05,-0.05,0.0,0.03,-0.02,0.0,2.8,-2.8,0.0,0.0112,-0.0112,0.0477377,-0.0477377,11.8
2113,TOI-544 b,b,TOI-544,1.548352,0.0,,2.018,1.93,999.0,240.195034516511,0.0926411103200282,1.21,0.63,4169.0,-0.900485444416911,0.62,9.0,-0.17,41.1166,24.2922,85.3268417,<a refstr=OSBORNE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231014908O/abstract target=ref>Osborne et al. 2023</a>,Transit,2022,2022-02,0,0,0,0,82.2900716,-0.3428983,203.53877,-18.38577,0.076,-0.076,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,7.0,-7.0,0.0,0.0736,-0.0732,0.0430782,-0.0430782,0.0225
2114,TOI-544 c,c,TOI-544,50.089,0.32,,4.92,0.992,,,,,0.63,4169.0,-0.900485444416911,0.62,9.0,-0.17,41.1166,24.2922,85.3268417,<a refstr=OSBORNE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231014908O/abstract target=ref>Osborne et al. 2023</a>,Radial Velocity,2023,2023-10,0,0,0,0,82.2900716,-0.3428983,203.53877,-18.38577,,,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,7.0,-7.0,0.0,0.0736,-0.0732,0.0430782,-0.0430782,
2115,HD 110067 b,b,HD 110067,9.113678,,89.061,2.2,2.94,800.0,,,3.0948,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.03,-0.03,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.0793
2116,HD 110067 c,c,HD 110067,13.673694,,89.687,2.388,,699.0,,,3.7044,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.036,-0.036,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.1039
2117,HD 110067 d,d,HD 110067,20.519617,,89.248,2.852,2.02,602.0,,,3.8177,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.039,-0.039,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.1362
2118,HD 110067 e,e,HD 110067,30.793091,,89.867,1.94,,533.0,,,4.8636,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.04,-0.04,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.1785
2119,HD 110067 f,f,HD 110067,41.05854,,89.673,2.601,1.57,489.0,,,5.165,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.042,-0.042,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.2163
2120,HD 110067 g,g,HD 110067,54.76992,,89.729,2.607,,440.0,,,5.666,0.8,5266.0,-0.3622404713098,0.79,8.1,-0.2,32.1585,31.0671,132.8761492,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,Transit,2023,2023-11,0,0,0,0,189.8392243,20.0273377,281.0126,82.37965,0.052,-0.052,0.0,0.04,-0.04,0.0,0.01,-0.01,0.0,4.0,-4.0,0.0,0.0572,-0.0569,0.0547289,-0.0547289,0.2621
2121,HD 62364 c,c,HD 62364,74839.94555,0.773,38.789,12.0,25.2,,,,,1.19,6255.0,0.432969290874406,1.401,3.901,-0.11,53.112,18.7992,123.682891,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2022,2022-09,0,0,0,0,113.9052658,-75.5442707,287.43448,-23.51453,,,0.0,0.16,-0.16,0.0,0.015,-0.015,0.0,0.699,-0.699,0.0,0.0743,-0.0741,0.0261077,-0.0261077,36.984
2122,WASP-110 b,b,WASP-110,3.77840121,0.0,88.16,13.877,0.333,1033.0579656546,269.165729943408,2.45824117133995,2.8296299895596,0.95,5400.0,-0.229003223124431,0.863921999931335,,-0.06,274.96,3.60869,66.4333524,<a refstr=NIKOLOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...88N/abstract target=ref>Nikolov et al. 2021</a>,Transit,2021,2021-09,0,0,0,0,305.8724366,-44.0587001,356.35634,-34.54977,0.628,-0.628,0.0,0.0952045,-0.161173,0.0,0.0462512,-0.0462512,0.0,,,,3.097,-3.03,0.0402056,-0.0402056,
2123,KMT-2022-BLG-0371L b,b,KMT-2022-BLG-0371L,,,,10.9,0.351,,,,,0.63,,,,,,7140.0,,,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..90H/abstract target=ref>Han et al. 2023</a>,Microlensing,2023,2023-06,0,0,0,0,265.3619167,-34.6986694,354.62769,-2.268,,,0.0,0.32,-0.28,0.0,,,,,,,1070.0,-1340.0,,,3.02
