,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU)
742,K2-338 b,b,K2-338,3.850614,,,1.03,5.43,783.0,,0.0391,1.78,0.66,4558.0,-0.836441200777434,0.63,,-0.23,156.951,6.34256,59.0822143,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,Transit,2016,2016-10,0,0,0,0,124.3609294,17.0241557,206.47017,26.44954,0.11,-0.05,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,,,,0.602,-0.597,0.0241389,-0.0241389,
743,K2-133 e,e,K2-133,26.5841,,89.164,1.73,3.86,296.0,1.8,0.0987,1.44,0.46,3655.0,-1.479,0.46,,,75.1703,13.2743,191.3593293,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,Transit,2019,2019-08,0,0,0,0,70.1493775,25.0098135,174.75407,-14.0676,0.14,-0.13,0.0,0.01,-0.01,0.0,0.02,-0.02,0.0,,,,0.2012,-0.2012,0.0353491,-0.0353491,0.1346
744,KELT-19 A b,b,KELT-19 A,4.6117093,,85.41,21.409,0.744,1935.0,2340.0,1.148,4.3944,1.62,7500.0,0.978,1.83,,-0.12,300.276,3.30249,3.1629968,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,Transit,2017,2018-01,0,0,0,0,111.5095293,7.6157759,210.01238,11.13398,1.233,-1.233,0.0,0.25,-0.2,0.0,0.1,-0.1,0.0,,,,4.684,-4.544,0.0507721,-0.0507721,0.0637
745,HATS-39 b,b,HATS-39,4.5776348,0.275,84.98,17.598,0.202,1645.0,1547.10138622705,1.08694903086084,3.732,1.38,6572.0,0.64,1.62,2.06,0.0,878.521,1.1208,5.6888303,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit,2018,2018-07,0,0,0,0,112.4192251,-29.9379163,243.75063,-5.70925,1.345,-1.345,0.0,0.04,-0.04,0.0,0.09,-0.09,0.0,0.3,-0.3,0.0,79.923,-67.787,0.0925117,-0.0925117,0.06007
746,HATS-40 b,b,HATS-40,3.2642736,0.312,85.8,17.71,0.49,2101.0,3163.37622170461,0.501157250272436,5.3304,1.56,6460.0,0.903,2.26,2.07,0.01,1342.29,0.716118,7.0827908,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit,2018,2018-07,0,0,0,0,100.5712467,-29.77678,239.1018,-14.90957,1.793,-1.345,0.0,0.07,-0.07,0.0,0.18,-0.11,0.0,0.34,-0.34,0.0,31.8,-30.39,0.017126,-0.017126,0.04997
747,HATS-42 b,b,HATS-42,2.292102,0.229,85.1,15.693,0.83,1856.0,1637.20580646625,1.05852906021171,3.2664,1.27,6060.0,0.425,1.48,3.26,0.22,800.377,1.2207,2.9773886,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit,2018,2018-07,0,0,0,0,108.4523991,-33.4373462,245.353,-10.30432,2.802,-1.569,0.0,0.07,-0.07,0.0,0.2,-0.12,0.0,0.83,-0.83,0.0,10.533,-10.269,0.0161117,-0.0161117,0.03689
748,K2-196 b,b,K2-196,48.324222,,88.274,3.6,1.48,,,,,1.16,6045.0,0.643551417903374,1.54,,0.01,584.877,1.68326,14.481876,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,Transit,2018,2018-03,0,0,0,0,200.4562487,-8.4717104,315.6756,53.64648,0.603,-0.503,0.0,0.07,-0.05,0.0,0.23,-0.19,0.0,,,,22.597,-21.003,0.0631644,-0.0631644,
749,K2-113 b,b,K2-113,5.817685,0.0,86.21,12.14,1.97,1098.0,277.39,0.8378,3.0744,1.04,5660.0,0.0086001717619175,1.24,5.9,0.27,635.722,1.54414,23.918754,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,Transit,2017,2017-11,0,0,0,0,19.4493823,6.8688469,134.5097,-55.40924,0.35,-0.35,0.0,0.04,-0.04,0.0,0.03,-0.03,0.0,2.7,-3.4,0.0,13.43,-13.43,0.0329812,-0.0329812,0.0642
750,K2-329 b,b,K2-329,12.4551225,0.0697,89.22,8.676,0.694,650.0,45.7,,3.621,0.9,5282.0,-0.325,0.82,1.8,0.098,233.237,4.25907,18.8212481,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,Transit,2020,2021-02,0,0,0,0,351.1353785,-5.1641451,75.76637,-59.8217,0.291,-0.269,0.0,0.05,-0.05,0.0,0.03,-0.02,0.0,2.2,-1.3,0.0,2.293,-2.249,0.0414338,-0.0414338,0.1016
751,K2-289 b,b,K2-289,13.156969,,88.48,9.1,0.445,753.0,,0.7619,4.032,0.95,5529.0,-0.504786768209829,1.02,,0.162,274.3,3.61703,42.902841,<a refstr=LIVINGSTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..102L/abstract target=ref>Livingston et al. 2019</a>,Transit,2019,2019-03,0,0,0,0,246.6429443,-15.7925384,0.07234,22.45095,0.3,-0.3,0.0,0.04,-0.05,0.0,0.03,-0.03,0.0,,,,2.093,-2.063,0.0274095,-0.0274095,0.107
