Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
Kepler-19 d,0.2279168247991286,-0.4634911284070809,-0.2721781592978959,0.5186794263394711,0.3305702102011661,-0.6015085969775928,0.0,0
Kepler-24 e,-1.118298175311501,-0.4634911284070809,-0.2721781592978959,0.5184935642257168,0.3526498360407131,-0.5924090279408885,0.0,0
Kepler-305 d,-0.9629162957483892,-0.4634911284070809,-0.2721781592978959,0.7444036444395509,0.4454453309695934,-0.4926308714773492,0.0,0
Kepler-20 g,-0.0286509441873566,-0.4634911284070809,-0.2721781592978959,0.4542671738466391,0.5431860478754095,-0.5358973367270485,0.0,0
Kepler-20 c,-0.0286509441873566,-0.4634911284070809,-0.2721781592978959,0.4542671738466391,0.5431860478754095,-0.5358973367270485,0.0,0
Kepler-128 c,-0.3559009021905477,-0.4634911284070809,-0.2721781592978959,0.3379845498643316,0.6275224397640994,-0.5335944405420814,0.0,0
Kepler-90 i,-0.9493789789308756,-0.4634911284070809,-0.2721781592978959,0.3803162663679049,0.9260777431228764,-0.4234281814950523,0.0,0
Kepler-35 b,-1.3001057900000603,-0.4634911284070809,-0.2721781592978959,0.6198290380928608,0.7746007306526459,-0.4184116376112027,0.0,0
Kepler-56 d,-0.9927340565046676,-0.4634911284070809,-0.2721781592978959,0.6010727912857202,0.5198563950248671,-0.5056454534368454,0.0,0
TOI-2076 b,1.5089976658680715,-0.4634911284070809,-0.2721781592978959,-0.6230083348249511,0.4192833068839712,-0.5811546677563497,0.0,0
HD 63935 c,1.4327620625073891,-0.4634911284070809,-0.2721781592978959,-1.3242785182532044,-0.5990317507282134,1.0208613707453231,0.0,1
HD 93963 A b,1.1060913612995678,-0.4634911284070809,-0.2721781592978959,-1.0698606525844816,-0.138905267617322,1.0072164080522612,0.0,1
TOI-1174 b,0.999394534061805,-0.4634911284070809,-0.2721781592978959,-0.7035161411096952,2.3520733091718924,0.1191615591066147,0.0,0
TOI-669 b,0.6419143788890833,-0.4634911284070809,-0.2721781592978959,-1.0949792857059548,-0.9114453726705484,1.2678288602258836,0.0,1
TOI-1472 b,0.7869260501219559,-0.4634911284070809,-0.2721781592978959,-1.714129300636032,0.8865142257197802,0.2395456937996215,0.0,1
TOI-1694 c,0.7662776428999397,-0.4634911284070809,-0.2721781592978959,-1.4176010646535089,2.1561326896021598,0.5110909217560787,0.0,0
Kepler-186 e,0.4335857597061125,-0.4634911284070809,-0.2721781592978959,0.7289220852835151,0.626197882455921,-0.4373393022404626,-1.0,0
HD 260655 b,1.8705230985388013,2.155323140518369,3.674234735625266,-1.4108393954135214,-0.3857543990832647,0.9120545438687656,0.0,3
TOI-1753 b,0.1916617628194238,-0.4634911284070809,-0.2721781592978959,-0.194248420307254,1.7360426630573105,-0.2190885673732249,0.0,0
TOI-1799 b,1.2973289827997887,-0.4634911284070809,-0.2721781592978959,-1.040111430111985,0.1794606921415613,0.8588674645045516,0.0,1
TOI-1801 b,1.634593950435426,-0.4634911284070809,-0.2721781592978959,-0.981747586560912,-0.2233931183785528,1.1021330740114197,0.0,1
TOI-2128 b,1.5680077025018633,-0.4634911284070809,-0.2721781592978959,-0.1264019423150386,0.0924262471370255,-0.9406017356337676,0.0,0
HIP 113103 b,1.4622833699697275,-0.4634911284070809,-0.2721781592978959,2.329303626210818,-1.4757685848322624,1.70276410042011,0.0,1
HD 191939 g,1.3840465697262283,2.155323140518369,-0.2721781592978959,0.8219850518244801,2.197952009875722,-0.079594502786315,-1.0,2
Kepler-23 c,-0.9402174153826872,-0.4634911284070809,-0.2721781592978959,0.6127465967368646,0.9364989509678664,-0.3734675847994544,0.0,0
Kepler-34 b,-1.2966662058153928,-0.4634911284070809,-0.2721781592978959,0.669967916167148,0.6625078043299697,-0.4407197423058251,0.0,0
TOI-1759 b,1.5292686895596683,-0.4634911284070809,-0.2721781592978959,1.638781870069142,1.8596365970028883,-0.0273195378301827,0.0,0
TOI-1249 b,0.6641135864726807,-0.4634911284070809,-0.2721781592978959,-0.7826449359203729,2.1517088554790007,0.168909165899063,0.0,0
TOI-1347 b,0.6121980468766075,-0.4634911284070809,-0.2721781592978959,0.2921302536190551,2.502390923961301,-0.0665793364915512,0.0,0
HIP 9618 b,1.2440451469073546,-0.4634911284070809,-0.2721781592978959,-1.6637789762235755,-0.2772726261256736,0.4707201995564716,0.0,1
Kepler-25 d,0.1208441785487078,-0.4634911284070809,-0.2721781592978959,0.4298762660116923,0.4051328589131073,-0.5964739722669671,0.0,0
Kepler-411 d,0.5731950747440894,-0.4634911284070809,-0.2721781592978959,0.4521278562953152,0.9391473401766748,-0.4054151285826136,0.0,0
TrES-2 b,0.2428530134244155,2.177865462924018,-0.2721781592978959,0.4337673347892032,0.9267525687499372,-0.4127576954360447,0.0,2
DMPP-4 b,1.6958435422324214,2.155323140518369,-0.2721781592978959,0.5966408822994406,1.04399984380839,-0.3477013845808642,0.0,2
TOI-519 b,0.8332848872134545,-0.4634911284070809,-0.2721781592978959,-1.2908405684710509,-1.160566988219376,1.2025046604315568,0.0,1
TOI-561 e,1.0754054093887218,-0.4634911284070809,-0.2721781592978959,-1.1610062522499631,-0.6735515485487795,1.1452603321035184,0.0,1
TOI-1601 b,-0.1997825557383958,-0.4634911284070809,-0.2721781592978959,-1.640158176202224,0.4776982542272182,0.4532282872364886,0.0,1
Kepler-85 c,-0.8837034818915899,-0.4634911284070809,-0.2721781592978959,0.5320550463103546,0.6973991635287979,-0.4630145121843403,0.0,0
LTT 1445 A c,1.9041335638478571,2.155323140518369,-0.2721781592978959,-1.6168862301631852,-1.1118875065061915,0.9467681735819612,0.0,2
HD 191939 f,1.3840465697262283,2.155323140518369,-0.2721781592978959,0.8219850518244801,2.197952009875722,-0.079594502786315,-1.0,2
Kepler-619 d,-0.985168760262822,-0.4634911284070809,-0.2721781592978959,0.5290353870132308,0.8735221610244812,-0.4090626485296724,0.0,0
Kepler-619 c,-0.985168760262822,-0.4634911284070809,-0.2721781592978959,0.5290353870132308,0.8735221610244812,-0.4090626485296724,0.0,0
KMT-2019-BLG-0297L b,-0.2772057243027166,-0.4634911284070809,-0.2721781592978959,0.0925087125440212,-1.2968703358503757,-2.525319836940789,0.0,0
TOI-1266 b,1.5743427464787318,-0.4634911284070809,-0.2721781592978959,-0.8049903803029985,2.1115572533810054,0.1878897310997652,0.0,0
